06MAGNA,20170531,0.27,0.30,0.27,0.28,14298
08OCTAVA,20170531,1.00,1.05,1.00,1.00,16
11BIT,20170531,184.55,184.95,178.00,184.50,9087
4FUNMEDIA,20170531,5.86,5.86,5.75,5.75,144
AATHOLD,20170531,18.80,18.80,18.80,18.80,1
ABCDATA,20170531,1.87,1.90,1.86,1.90,86198
ABMSOLID,20170531,11.25,11.25,11.20,11.20,10
ABPL,20170531,34.62,36.00,34.00,36.00,89146
ACAUTOGAZ,20170531,42.90,42.90,42.90,42.90,200
ACTION,20170531,3.69,3.69,3.42,3.42,33744
ADIUVO,20170531,27.48,27.48,26.63,26.63,181
AGORA,20170531,15.40,15.59,15.33,15.49,6487
AGROTON,20170531,6.70,6.72,6.40,6.57,16033
AILLERON,20170531,14.40,14.49,13.51,13.65,23257
AIRWAY,20170531,2.04,2.04,1.99,2.00,4855
ALCHEMIA,20170531,5.20,5.20,5.10,5.17,56991
ALIOR,20170531,69.45,70.14,68.01,68.20,507568
ALMA,20170531,0.38,0.38,0.37,0.37,12700
ALTA,20170531,3.94,3.94,3.94,3.94,22
ALTUSTFI,20170531,16.76,17.00,16.60,16.98,3615
ALUMETAL,20170531,62.60,62.85,62.00,62.85,41437
AMBRA,20170531,11.26,11.48,11.26,11.40,13554
AMICA,20170531,190.00,190.00,187.05,188.00,12019
AMREST,20170531,344.00,349.45,338.00,340.00,9520
APATOR,20170531,36.40,36.40,35.24,36.27,3015
APLISENS,20170531,12.70,13.10,12.70,13.10,592
APSENERGY,20170531,4.30,4.30,4.30,4.30,2
ARCTIC,20170531,4.52,4.55,4.46,4.55,11928
ARCUS,20170531,1.06,1.06,1.06,1.06,5731
ARKASWE17,20170531,98.50,99.00,98.50,99.00,536
ARTERIA,20170531,7.05,7.06,6.99,7.05,1848
ARTIFEX,20170531,15.99,15.99,15.35,15.98,468
ASBIS,20170531,2.47,2.50,2.43,2.43,120153
ASMGROUP,20170531,5.75,5.75,5.75,5.75,1168
ASSECOBS,20170531,30.50,30.50,29.51,30.49,393
ASSECOPOL,20170531,49.99,50.00,48.40,48.40,194227
ASSECOSEE,20170531,12.90,13.18,12.90,13.00,900
ASTARTA,20170531,67.00,67.10,66.99,66.99,495
ATAL,20170531,40.43,40.80,40.00,40.80,19962
ATENDE,20170531,5.70,5.70,5.50,5.56,4629
ATLANTAPL,20170531,4.48,4.48,4.40,4.48,4023
ATLANTIS,20170531,0.68,0.69,0.66,0.69,17642
ATM,20170531,11.48,11.48,10.92,11.35,1970
ATMGRUPA,20170531,4.49,4.60,4.45,4.60,14873
ATREM,20170531,2.95,2.95,2.95,2.95,370
AUTOPARTN,20170531,5.67,5.67,5.51,5.63,35455
AVIAAML,20170531,5.95,5.98,5.95,5.98,51184
AVIASG,20170531,19.63,20.35,19.63,20.35,1584
AWBUD,20170531,7.00,7.00,6.95,7.00,2660
BALTONA,20170531,2.31,2.42,2.25,2.30,13069
BBIDEV,20170531,0.70,0.74,0.68,0.72,259007
BEDZIN,20170531,24.45,24.45,24.45,24.45,331
BENEFIT,20170531,1059.15,1059.15,1035.00,1046.95,78
BEST,20170531,29.60,30.59,29.60,30.59,200
BETACOM,20170531,10.39,10.40,10.30,10.40,2898
BGZBNPP,20170531,65.05,66.00,65.05,66.00,1716
BIK,20170531,17.88,17.88,16.70,16.70,1151
BIOMEDLUB,20170531,1.20,1.24,1.17,1.21,174799
BIOTON,20170531,6.07,6.07,5.25,5.29,275823
BMPAG,20170531,7.00,7.00,7.00,7.00,2
BOGDANKA,20170531,66.80,67.60,64.00,64.00,13518
BORYSZEW,20170531,11.03,11.25,10.92,11.09,557942
BOS,20170531,10.90,10.98,10.75,10.90,5670
BOWIM,20170531,5.50,5.53,5.35,5.53,37752
BPHFIZMLI,20170531,101.00,101.00,101.00,101.00,100
BRASTER,20170531,16.00,16.13,15.51,15.51,5584
BRIJU,20170531,8.17,8.20,7.95,8.15,12108
BSCDRUK,20170531,36.50,37.48,36.10,37.44,25170
BUDIMEX,20170531,234.05,237.00,218.00,218.00,29907
BUMECH,20170531,0.59,0.59,0.57,0.57,1255856
BYTOM,20170531,2.77,2.80,2.72,2.80,282114
BZWBK,20170531,347.95,348.00,337.05,339.25,112462
CALATRAVA,20170531,0.48,0.52,0.40,0.41,639220
CAPITAL,20170531,2.75,2.80,2.71,2.80,13081
CCC,20170531,211.35,211.35,208.65,210.00,232890
CDPROJEKT,20170531,77.07,78.99,76.34,78.93,499969
CDRL,20170531,32.10,33.00,31.50,33.00,1184
CELTIC,20170531,5.50,5.50,5.50,5.50,1500
CEZ,20170531,70.32,70.32,70.32,70.32,9
CFI,20170531,0.71,0.74,0.69,0.74,255846
CHEMOS,20170531,1.16,1.19,1.16,1.19,4513
CIECH,20170531,70.50,70.53,67.55,67.55,76664
CIGAMES,20170531,0.99,1.00,0.90,0.91,4187529
CITYSERV,20170531,9.50,9.50,9.50,9.50,372
CLNPHARMA,20170531,33.88,34.00,32.60,34.00,18644
CNT,20170531,7.45,7.45,7.42,7.42,160
COALENERG,20170531,1.01,1.01,1.01,1.01,100
COGNOR,20170531,1.72,1.72,1.72,1.72,85
COLIAN,20170531,3.51,3.55,3.42,3.55,58883
COMARCH,20170531,228.20,228.20,216.15,220.00,2609
COMP,20170531,62.00,65.00,60.40,65.00,2354
CORMAY,20170531,3.01,3.07,2.58,2.69,589004
CPGROUP,20170531,6.20,6.20,6.20,6.20,1
CUBEITG,20170531,4.71,4.89,4.71,4.88,1006
