11BIT,20170807,193.30,193.30,181.00,189.00,1653
4FUNMEDIA,20170807,6.66,6.67,6.66,6.67,302
AATHOLD,20170807,18.80,18.80,18.09,18.80,102
ABADONRE,20170807,6.53,6.53,6.53,6.53,289
ABCDATA,20170807,1.89,1.90,1.86,1.87,151078
ABMSOLID,20170807,13.34,13.34,13.00,13.00,10
ABPL,20170807,33.88,34.41,33.40,34.30,893
ACAUTOGAZ,20170807,47.00,48.20,46.75,47.80,1695
ACTION,20170807,5.15,5.35,4.67,4.70,777413
ADIUVO,20170807,20.95,20.99,20.95,20.99,2
AGORA,20170807,15.60,15.60,15.35,15.36,1078
AGROTON,20170807,6.00,6.79,5.87,6.59,74169
AILLERON,20170807,20.14,20.14,18.80,18.80,15363
AIRWAY,20170807,1.40,1.40,1.32,1.38,408634
ALCHEMIA,20170807,5.06,5.06,5.00,5.06,34009
ALIOR,20170807,64.48,64.49,63.30,63.60,229735
ALMA,20170807,1.01,1.01,0.91,0.94,208963
ALTA,20170807,3.28,3.48,3.12,3.13,9435
ALTUSTFI,20170807,16.39,16.39,16.24,16.25,983
ALUMETAL,20170807,48.27,48.90,48.27,48.60,9256
AMBRA,20170807,10.74,10.91,10.74,10.91,386
AMICA,20170807,171.00,171.00,169.50,170.50,2832
AMREST,20170807,371.00,371.05,362.20,367.95,9322
APATOR,20170807,31.00,31.30,30.62,30.62,55070
APLISENS,20170807,12.60,12.88,12.60,12.88,58
APSENERGY,20170807,4.08,4.08,4.08,4.08,1
ARCHICOM,20170807,15.35,15.35,15.35,15.35,500
ARCTIC,20170807,4.47,4.58,4.45,4.50,30661
ARCUS,20170807,1.20,1.20,1.20,1.20,100
ARKASWE17,20170807,102.00,102.00,102.00,102.00,2302
ARTERIA,20170807,8.80,8.80,8.34,8.65,570
ARTIFEX,20170807,13.17,13.17,13.00,13.17,261
ASBIS,20170807,2.66,2.70,2.63,2.67,102172
ASSECOBS,20170807,27.00,27.00,26.51,26.89,587
ASSECOPOL,20170807,44.00,44.43,43.37,44.05,151851
ASSECOSEE,20170807,11.80,11.80,11.80,11.80,440
ASTARTA,20170807,66.99,66.99,64.92,65.99,312
ATAL,20170807,38.85,38.85,38.35,38.35,405
ATENDE,20170807,5.46,5.46,5.35,5.35,890
ATLANTAPL,20170807,4.78,4.78,4.78,4.78,250
ATLANTIS,20170807,0.59,0.60,0.58,0.58,13261
ATLASEST,20170807,1.06,1.10,1.01,1.09,73932
ATM,20170807,11.51,11.52,11.51,11.52,9550
ATMGRUPA,20170807,4.10,4.24,4.10,4.23,5617
AUTOPARTN,20170807,5.30,5.30,5.15,5.30,105888
AVIAAML,20170807,4.84,4.90,4.80,4.90,2095
AVIASG,20170807,19.80,19.80,19.80,19.80,6
AWBUD,20170807,6.20,6.20,6.00,6.20,5184
BALTONA,20170807,2.10,2.10,1.89,2.08,18810
BBIDEV,20170807,0.83,0.84,0.83,0.84,12351
BEDZIN,20170807,24.07,24.10,24.07,24.10,10
BENEFIT,20170807,975.00,994.90,970.00,980.00,113
BEST,20170807,30.60,30.70,30.60,30.60,1112
BETACOM,20170807,11.30,11.40,11.30,11.40,407
BGZBNPP,20170807,64.28,64.28,64.28,64.28,1
BIK,20170807,17.40,17.40,17.00,17.35,327
BIOMEDLUB,20170807,1.15,1.17,1.13,1.17,78118
BIOTON,20170807,5.68,5.70,5.65,5.68,23251
BMPAG,20170807,8.67,8.67,8.50,8.50,2
BOGDANKA,20170807,74.00,74.00,72.49,73.70,3620
BORYSZEW,20170807,10.71,10.88,10.71,10.86,28630
BOS,20170807,10.62,10.63,10.55,10.60,17344
BOWIM,20170807,4.18,4.18,4.18,4.18,1
BRASTER,20170807,14.00,14.06,13.85,13.91,2138
BRIJU,20170807,7.44,7.52,7.34,7.52,20034
BUDIMEX,20170807,224.05,227.50,224.00,227.00,2762
BUMECH,20170807,0.87,0.91,0.87,0.89,1020271
BUWOG,20170807,106.70,106.70,106.70,106.70,2
BYTOM,20170807,2.48,2.48,2.45,2.48,1571
BZWBK,20170807,374.00,375.10,366.30,370.00,44964
CAPITAL,20170807,3.10,3.20,3.05,3.05,1004
CCC,20170807,249.20,252.60,248.00,250.65,22914
CDPROJEKT,20170807,86.20,86.60,85.51,85.70,85541
CDRL,20170807,26.80,27.48,26.80,27.48,444
CEZ,20170807,64.65,65.25,64.64,65.25,505
CFI,20170807,0.84,0.86,0.82,0.85,243646
CHEMOS,20170807,1.25,1.26,1.24,1.24,20633
CIECH,20170807,63.44,64.35,62.70,64.00,116075
CIGAMES,20170807,1.33,1.42,1.30,1.34,6726215
CITYSERV,20170807,8.82,9.16,8.50,9.00,13028
CLNPHARMA,20170807,35.74,35.80,35.25,35.69,2222
CNT,20170807,7.54,7.54,7.54,7.54,11
COALENERG,20170807,0.90,0.90,0.84,0.84,3654
COGNOR,20170807,1.47,1.48,1.45,1.48,13232
COLIAN,20170807,3.25,3.28,3.22,3.28,27102
COMARCH,20170807,194.00,196.00,191.40,193.00,1026
COMP,20170807,57.60,59.45,57.60,59.45,369
CORMAY,20170807,2.92,2.94,2.82,2.93,214378
CPGROUP,20170807,6.22,6.22,5.90,5.90,701
CUBEITG,20170807,2.28,2.28,2.12,2.18,11958
CYFRPLSAT,20170807,26.54,26.56,26.15,26.20,272826
CZTOREBKA,20170807,0.74,0.74,0.70,0.74,2670
DEBICA,20170807,109.00,109.00,106.90,108.80,85
DECORA,20170807,10.75,11.00,10.60,11.00,1071
DEKPOL,20170807,22.50,22.60,22.50,22.60,555
DELKO,20170807,9.69,9.85,9.69,9.84,1600
DGA,20170807,4.88,4.88,4.88,4.88,2
DINOPL,20170807,51.45,51.50,49.15,50.40,169069
DOMDEV,20170807,78.00,78.00,77.00,77.50,2879
DREWEX,20170807,1.21,1.21,1.21,1.21,500
DROZAPOL,20170807,1.87,1.88,1.86,1.88,4410
ECHO,20170807,5.43,5.44,5.40,5.41,20242
EDINVEST,20170807,1.92,1.92,1.92,1.92,1
EFEKT,20170807,26.65,26.65,26.23,26.55,644
EKOEXPORT,20170807,12.03,12.18,11.94,12.00,5287
ELBUDOWA,20170807,110.00,111.90,110.00,111.85,133
ELEKTROTI,20170807,12.88,12.90,12.39,12.79,940
ELEMENTAL,20170807,3.08,3.10,3.04,3.06,37427
ELZAB,20170807,12.45,12.45,12.45,12.45,10
EMCINSMED,20170807,9.80,9.80,9.80,9.80,1
EMPERIA,20170807,82.50,83.85,82.50,82.50,8444
ENAP,20170807,1.05,1.05,1.05,1.05,6355
ENEA,20170807,15.81,15.89,15.61,15.82,412003
ENELMED,20170807,12.01,12.01,12.01,12.01,700
ENERGA,20170807,13.30,13.46,13.04,13.10,1745983
ENERGOINS,20170807,1.69,1.69,1.64,1.66,10814
ENTER,20170807,29.68,29.68,28.29,29.68,131
ERBUD,20170807,28.25,28.30,27.70,28.30,152
ERG,20170807,64.70,64.70,63.30,64.50,206
ERGIS,20170807,6.25,6.25,6.20,6.25,8592
ESOTIQ,20170807,10.77,10.86,10.69,10.75,1090
ESSYSTEM,20170807,2.90,2.90,2.90,2.90,3501
ETFDAX,20170807,500.00,500.00,497.85,497.93,56
ETFSP500,20170807,91.18,91.18,90.45,90.70,357
ETFW20L,20170807,283.68,284.90,283.12,284.90,144
EUCO,20170807,27.61,28.50,27.61,28.35,454
EUROCASH,20170807,34.30,34.30,34.00,34.15,174306
EUROHOLD,20170807,1.61,1.61,1.61,1.61,136
EUROTEL,20170807,20.50,21.00,20.50,20.52,692
EVEREST,20170807,0.85,0.85,0.85,0.85,121
FAM,20170807,3.66,3.83,3.66,3.83,5376
FAMUR,20170807,5.85,5.98,5.83,5.86,448223
FASING,20170807,17.50,17.84,17.50,17.50,153
FASTFIN,20170807,1.53,1.53,1.53,1.53,26
FEERUM,20170807,15.99,15.99,14.45,14.99,1687
FERRO,20170807,15.47,15.47,15.20,15.47,858
FERRUM,20170807,4.39,4.39,4.34,4.34,1008
FON,20170807,0.26,0.27,0.25,0.26,290851
FORTE,20170807,68.90,69.00,68.50,68.50,1604
FORTUNA,20170807,23.34,23.34,23.34,23.34,6000
FOTA,20170807,0.49,0.50,0.48,0.48,63086
GEKOPLAST,20170807,15.49,15.49,15.20,15.44,830
GETBACK,20170807,18.62,18.70,18.62,18.70,1266
GETBACK-PDA,20170807,18.60,18.70,18.50,18.65,17718
GETIN,20170807,1.34,1.34,1.32,1.34,174566
GETINOBLE,20170807,1.29,1.30,1.27,1.29,929905
GINOROSSI,20170807,1.80,1.80,1.75,1.80,87191
GLCOSMED,20170807,3.07,3.15,2.94,3.15,84
GOBARTO,20170807,8.75,8.78,8.70,8.75,3230
GORENJE,20170807,28.79,28.79,28.79,28.79,2
GPRE,20170807,4.84,5.00,4.82,4.84,26527
GPW,20170807,45.50,45.59,45.10,45.30,21127
GRAVITON,20170807,0.89,0.89,0.85,0.86,15
GROCLIN,20170807,9.35,9.60,9.35,9.36,15885
GRODNO,20170807,8.60,8.80,8.26,8.80,69
GRUPAAZOTY,20170807,71.70,72.30,71.63,71.79,25677
GTC,20170807,9.64,9.66,9.60,9.63,11381
HANDLOWY,20170807,71.11,71.68,70.70,70.72,31986
HARPER,20170807,1.03,1.03,1.03,1.03,2
HELIO,20170807,16.70,16.80,16.30,16.40,1079
HERKULES,20170807,3.66,3.75,3.63,3.75,80014
HUBSTYLE,20170807,1.14,1.14,1.07,1.14,6730
HYDROTOR,20170807,41.14,41.20,40.70,41.20,270
I2DEV,20170807,14.35,14.49,14.10,14.49,865
IDEABANK,20170807,25.90,25.90,25.51,25.60,2085
IFCAPITAL,20170807,0.61,0.62,0.57,0.62,4001
IFIRMA,20170807,3.45,3.55,3.40,3.55,8920
IIAAV,20170807,9.33,9.33,9.06,9.06,1623
IMCOMPANY,20170807,10.16,10.18,9.95,10.18,283
IMMOBILE,20170807,3.67,3.76,3.65,3.70,5124
IMPEL,20170807,22.92,23.61,22.05,22.92,46
IMPERA,20170807,1.73,1.73,1.63,1.64,7617
IMPEXMET,20170807,4.37,4.41,4.37,4.38,15661
IMS,20170807,3.51,3.57,3.51,3.57,1171
INC,20170807,1.86,1.86,1.82,1.86,62
INDATA,20170807,0.51,0.51,0.50,0.51,35958
INDYKPOL,20170807,62.35,62.60,62.00,62.00,531
INGBSK,20170807,197.00,198.00,196.50,196.75,1032
INPRO,20170807,4.92,5.08,4.92,5.08,250
INSTALKRK,20170807,15.55,15.80,15.00,15.65,1096
INTERAOLT,20170807,11.45,11.50,11.45,11.50,796
INTERCARS,20170807,278.75,279.00,275.35,278.20,85
INTERFERI,20170807,3.97,3.97,3.97,3.97,3
INTERSPPL,20170807,2.93,2.93,2.84,2.89,12983
INTLADS13409,20170807,48.06,48.06,48.06,48.06,15
INTLBCO12963,20170807,47.50,48.40,47.17,47.17,109
INTLBCO13235,20170807,37.05,37.05,37.05,37.05,8
INTLBCO13243,20170807,42.20,42.20,42.20,42.20,2000
INTLBCO19216,20170807,29.81,29.81,29.81,29.81,229
INTLBCO19356,20170807,21.40,21.40,21.40,21.40,36
INTLDAX15099,20170807,105.60,105.60,105.60,105.60,50
INTLDAX17178,20170807,53.30,53.30,49.53,49.53,40
