11BIT,20171211,175.00,176.80,174.00,176.50,1308
4FUNMEDIA,20171211,9.61,9.80,9.61,9.80,1729
AATHOLD,20171211,18.49,18.49,17.54,18.49,432
ABADONRE,20171211,5.56,6.00,5.55,5.80,4790
ABCDATA,20171211,2.15,2.17,2.11,2.11,104358
ABMSOLID,20171211,11.80,11.80,11.40,11.80,54
ABPL,20171211,32.30,32.40,31.40,31.40,900
ACAUTOGAZ,20171211,42.00,42.00,41.25,42.00,1137
ACTION,20171211,3.59,3.68,3.43,3.44,41620
ADIUVO,20171211,15.90,16.68,15.90,16.00,1609
AGORA,20171211,15.38,15.50,15.01,15.01,54263
AGROTON,20171211,4.54,4.70,4.54,4.56,3688
AILLERON,20171211,18.00,18.00,17.50,17.99,667
AIRWAY,20171211,0.82,0.83,0.81,0.83,21075
ALCHEMIA,20171211,4.69,4.70,4.44,4.69,1616
ALIOR,20171211,74.62,75.60,74.20,75.60,114149
ALMA,20171211,0.24,0.25,0.22,0.25,27831
ALTA,20171211,2.84,2.84,2.84,2.84,1
ALTUSTFI,20171211,14.22,14.50,14.01,14.50,23892
ALUMETAL,20171211,51.50,51.97,51.10,51.96,685
AMBRA,20171211,12.85,13.00,12.85,12.85,39341
AMICA,20171211,129.00,130.40,129.00,129.95,6146
AMREST,20171211,363.95,363.95,359.65,360.90,647
APATOR,20171211,27.50,27.69,26.50,26.50,7453
APLISENS,20171211,13.00,13.00,12.75,13.00,1047
APSENERGY,20171211,2.99,2.99,2.99,2.99,1
ARCHICOM,20171211,15.29,15.40,15.29,15.30,251
ARCTIC,20171211,3.49,3.64,3.49,3.63,499657
ARCUS,20171211,1.76,1.80,1.75,1.80,12215
ARTERIA,20171211,7.34,7.66,7.30,7.34,3797
ARTIFEX,20171211,8.84,8.84,8.48,8.48,2173
ASBIS,20171211,2.80,2.89,2.80,2.86,219725
ASMGROUP,20171211,4.20,4.20,4.20,4.20,1588
ASSECOBS,20171211,25.50,26.49,25.35,25.51,847
ASSECOPOL,20171211,43.19,43.87,43.19,43.80,126332
ASSECOSEE,20171211,11.33,11.57,11.33,11.57,2597
ASTARTA,20171211,50.45,50.50,49.95,49.95,5346
ATAL,20171211,40.99,40.99,40.69,40.95,270
ATENDE,20171211,4.36,4.46,4.23,4.46,27130
ATLANTAPL,20171211,4.01,4.02,3.97,3.97,3903
ATLANTIS,20171211,0.70,0.73,0.69,0.73,2964
ATLASEST,20171211,0.99,0.99,0.99,0.99,2155
ATM,20171211,11.40,11.40,11.32,11.32,1241
ATMGRUPA,20171211,4.23,4.24,4.15,4.23,658
ATREM,20171211,2.30,2.32,2.24,2.30,131542
AUTOPARTN,20171211,5.14,5.14,5.06,5.12,12149
AVIAAML,20171211,5.28,5.42,5.27,5.40,4891
AVIASG,20171211,17.42,17.42,17.42,17.42,32
AWBUD,20171211,4.20,4.20,4.20,4.20,487
BALTONA,20171211,2.67,2.67,2.67,2.67,120
