11BIT,20180628,446.00,447.50,435.00,447.50,7732
4FUNMEDIA,20180628,13.90,14.80,13.80,14.65,1626
ABADONRE,20180628,5.80,5.80,5.60,5.60,1340
ABCDATA,20180628,1.64,1.68,1.58,1.59,480096
ABMSOLID,20180628,10.65,10.65,10.50,10.50,10
ABPL,20180628,21.00,21.00,20.10,20.10,9022
ACTION,20180628,3.05,3.08,3.02,3.02,5813
ADIUVO,20180628,10.20,10.65,9.90,9.98,428
AGORA,20180628,12.85,13.20,12.80,12.80,222210
AGROTON,20180628,3.03,3.03,2.75,2.94,5898
AILLERON,20180628,13.75,14.45,13.60,14.35,3926
AIRWAY,20180628,0.72,0.74,0.72,0.73,34633
ALCHEMIA,20180628,4.00,4.05,4.00,4.05,4495
ALIOR,20180628,66.50,67.15,65.30,65.50,106104
ALTA,20180628,3.24,3.24,3.00,3.24,9069
ALTUSTFI,20180628,7.42,7.42,7.00,7.32,33209
ALUMETAL,20180628,47.40,47.85,47.10,47.40,3710
AMBRA,20180628,12.80,13.00,12.75,12.80,103895
AMICA,20180628,108.20,108.40,104.40,106.00,18412
AMREST,20180628,445.00,447.50,440.50,442.50,5429
APATOR,20180628,22.80,22.90,22.40,22.50,1216
APLISENS,20180628,12.20,12.30,12.00,12.30,96
ARCHICOM,20180628,15.15,15.15,15.15,15.15,2065
ARCTIC,20180628,4.41,4.44,4.28,4.30,24866
ARCUS,20180628,1.44,1.50,1.44,1.50,4692
ARTERIA,20180628,6.22,6.22,6.22,6.22,101
ARTIFEX,20180628,7.38,7.38,6.96,6.96,9105
ASBIS,20180628,2.90,2.95,2.81,2.95,68492
ASSECOBS,20180628,25.00,25.00,25.00,25.00,900
ASSECOPOL,20180628,39.80,39.88,38.82,39.42,76605
ASSECOSEE,20180628,10.50,10.50,10.50,10.50,214
ASTARTA,20180628,33.60,33.60,33.40,33.50,591
ATAL,20180628,34.30,34.30,33.70,34.00,4995
ATENDE,20180628,3.94,3.94,3.90,3.94,904
ATLANTIS,20180628,0.58,0.60,0.53,0.60,14301
ATLASEST,20180628,0.95,1.02,0.95,1.02,250
ATM,20180628,8.88,8.88,8.88,8.88,2
ATMGRUPA,20180628,5.40,5.40,5.18,5.28,8897
ATREM,20180628,2.56,2.56,2.56,2.56,50
AUTOPARTN,20180628,4.24,4.24,3.86,3.86,75615
AVIASG,20180628,14.25,14.25,14.25,14.25,1
AWBUD,20180628,1.32,1.44,1.25,1.25,5365
BAHOLDING,20180628,5.50,5.50,5.40,5.40,39440
BALTONA,20180628,4.60,4.60,4.38,4.58,688
BBIDEV,20180628,0.53,0.56,0.50,0.56,245423
BEDZIN,20180628,26.80,27.00,26.40,27.00,551
BENEFIT,20180628,1065.00,1100.00,1020.00,1020.00,7699
BETACOM,20180628,15.00,15.00,14.00,14.60,9572
BGZBNPP,20180628,59.80,59.80,58.20,58.20,50
BIK,20180628,16.85,16.85,16.85,16.85,1
BIOMEDLUB,20180628,1.06,1.06,1.05,1.06,2652
BIOTON,20180628,4.94,5.18,4.85,4.86,54745
BOGDANKA,20180628,50.10,51.60,49.60,51.00,5576
BORYSZEW,20180628,6.40,6.48,5.56,6.12,716809
BOS,20180628,7.50,7.85,7.50,7.85,9660
BOWIM,20180628,3.75,3.75,3.75,3.75,10
BPHFIZBI2,20180628,131.10,131.10,131.10,131.10,50
BPHFIZMLI,20180628,93.15,94.01,93.15,94.01,147
BRASTER,20180628,4.36,4.60,4.33,4.41,9929
BSCDRUK,20180628,37.60,37.60,36.20,37.20,8012
BUDIMEX,20180628,125.20,127.40,125.20,126.20,5512
BUWOG,20180628,123.60,123.60,123.60,123.60,10
BYTOM,20180628,2.64,2.71,2.64,2.68,14012
BZWBK,20180628,335.00,339.20,330.80,331.60,52914
CAPITAL,20180628,4.12,4.15,3.92,4.15,17232
CCC,20180628,214.00,217.00,210.00,214.60,96244
CDPROJEKT,20180628,164.50,164.90,154.80,157.50,459752
CDRL,20180628,25.00,25.00,24.20,24.90,507
CEZ,20180628,88.65,88.65,87.00,87.00,7236
CIECH,20180628,61.70,61.95,59.20,60.70,315135
CIGAMES,20180628,0.91,0.91,0.88,0.89,581708
CITYSERV,20180628,10.70,11.30,10.20,11.30,1670
CLNPHARMA,20180628,29.90,31.95,29.85,31.45,13801
CNT,20180628,9.02,9.10,9.00,9.02,2889
COGNOR,20180628,1.56,1.56,1.50,1.56,9550
COLIAN,20180628,4.07,4.07,4.07,4.07,28229
COMARCH,20180628,150.00,150.00,143.50,150.00,1377
CORMAY,20180628,0.83,0.83,0.81,0.82,20793
CPGROUP,20180628,5.45,5.45,5.45,5.45,2
CYFRPLSAT,20180628,22.34,22.90,22.34,22.60,952355
CZTOREBKA,20180628,0.46,0.46,0.42,0.46,3702
DEBICA,20180628,140.00,141.00,139.50,140.50,492
DECORA,20180628,9.30,9.30,8.80,9.26,2916
DEKPOL,20180628,43.60,43.60,41.00,42.00,14516
DELKO,20180628,8.08,8.08,8.08,8.08,2
DGA,20180628,8.06,8.06,7.70,7.70,394
DINOPL,20180628,100.00,102.00,99.95,100.50,129253
DOMDEV,20180628,75.20,76.00,74.00,74.60,645
DROZAPOL,20180628,1.81,1.81,1.81,1.81,30
ECHO,20180628,4.20,4.27,4.13,4.20,39874
EDINVEST,20180628,1.90,1.90,1.90,1.90,222
EFEKT,20180628,21.90,21.90,21.50,21.90,85
EKOEXPORT,20180628,5.29,5.39,5.20,5.35,16947
ELBUDOWA,20180628,70.20,70.60,69.00,70.20,2761
ELEKTROTI,20180628,6.66,6.90,6.64,6.90,5819
ELEMENTAL,20180628,0.90,1.03,0.88,0.96,1300604
EMCINSMED,20180628,8.95,8.95,8.95,8.95,1
ENAP,20180628,1.19,1.19,1.19,1.19,2
ENEA,20180628,9.47,9.47,9.02,9.02,992423
ENELMED,20180628,9.85,9.85,9.85,9.85,1011
ENERGA,20180628,8.95,8.98,8.65,8.79,375009
ENERGOINS,20180628,0.88,0.88,0.86,0.87,3200
ENTER,20180628,20.40,21.70,20.30,21.30,11717
ERBUD,20180628,15.20,15.20,14.65,15.00,1604
ERG,20180628,48.00,48.00,46.50,46.50,244
ERGIS,20180628,3.60,3.60,3.58,3.59,821
ESOTIQ,20180628,22.00,22.00,20.40,20.80,1274
ESSYSTEM,20180628,2.68,2.68,2.50,2.50,9002
ETFDAX,20180628,511.00,512.40,502.60,506.00,55
ETFSP500,20180628,105.40,105.46,104.00,105.00,472
ETFW20L,20180628,255.20,255.90,251.00,251.00,639
EUCO,20180628,6.76,6.76,6.58,6.70,1061
EUROCASH,20180628,21.36,21.60,20.83,21.56,238641
EUROTEL,20180628,20.50,20.80,20.50,20.70,576
EVEREST,20180628,0.67,0.67,0.67,0.67,20
FAMUR,20180628,5.00,5.10,4.98,4.98,84630
FASING,20180628,15.55,15.55,15.40,15.50,1680
FEERUM,20180628,10.90,10.90,9.82,9.82,95
FERRO,20180628,13.25,13.50,13.05,13.50,329
FERRUM,20180628,4.35,4.36,4.34,4.36,42726
FORTE,20180628,47.00,47.50,45.60,47.50,8955
GETIN,20180628,0.55,0.57,0.54,0.55,375305
GETINOBLE,20180628,1.01,1.02,0.99,1.00,729778
GINOROSSI,20180628,0.64,0.65,0.61,0.61,64138
GOBARTO,20180628,9.16,9.16,9.16,9.16,250
GORENJE,20180628,50.80,50.80,50.80,50.80,1
GPRE,20180628,5.45,5.45,5.21,5.21,5002
GPW,20180628,37.40,37.40,36.55,36.90,13887
GRAVITON,20180628,1.34,1.47,1.34,1.42,20336
GROCLIN,20180628,3.05,3.17,2.95,2.98,10223
GRODNO,20180628,11.50,11.50,11.50,11.50,2
GRUPAAZOTY,20180628,42.70,43.42,41.40,41.40,35877
GTC,20180628,9.13,9.37,9.10,9.37,17934
HANDLOWY,20180628,70.50,71.20,69.00,69.00,27665
HARPER,20180628,0.50,0.50,0.47,0.49,14775
HELIO,20180628,10.80,10.80,10.80,10.80,1
HERKULES,20180628,3.15,3.20,3.11,3.20,61250
HOLLYWOOD,20180628,1.38,1.38,1.38,1.38,5
HUBSTYLE,20180628,0.42,0.50,0.42,0.50,351373
HYDROTOR,20180628,43.20,46.00,43.20,44.00,2092
I2DEV,20180628,15.85,16.40,15.85,16.40,2000
IDEABANK,20180628,6.38,6.48,6.28,6.34,21148
IFCAPITAL,20180628,0.68,0.68,0.68,0.68,50
IFIRMA,20180628,3.22,3.30,3.10,3.10,2257
IIAAV,20180628,80.00,85.00,80.00,85.00,21
IMCOMPANY,20180628,12.05,12.05,12.05,12.05,2
IMMOBILE,20180628,3.58,3.58,3.44,3.57,2894
IMPEL,20180628,16.50,16.50,14.90,15.90,631
IMPERA,20180628,1.17,1.17,1.17,1.17,16
IMPEXMET,20180628,3.94,4.06,3.92,3.92,14234
IMS,20180628,3.44,3.50,3.44,3.50,597
INC,20180628,1.28,1.28,1.28,1.28,10
INDYKPOL,20180628,68.50,68.50,68.50,68.50,1
