11BIT,20181121,237.50,247.50,237.50,245.00,33070
4FUNMEDIA,20181121,12.95,12.95,12.90,12.90,3
ABCDATA,20181121,0.77,0.79,0.76,0.78,186031
ABMSOLID,20181121,8.70,8.70,8.70,8.70,2
ABPL,20181121,17.40,17.55,17.00,17.55,869
ACTION,20181121,2.57,2.80,2.55,2.68,22601
ADIUVO,20181121,9.30,9.32,9.26,9.30,1023
AGORA,20181121,9.54,9.60,9.42,9.58,2483
AGROTON,20181121,4.01,4.17,4.00,4.14,6703
AILLERON,20181121,10.00,10.20,9.80,10.00,2023
AIRWAY,20181121,0.72,0.79,0.72,0.74,44021
ALCHEMIA,20181121,4.43,4.70,4.43,4.68,5891
ALIOR,20181121,52.00,52.75,49.52,50.10,821151
ALTA,20181121,2.00,2.08,2.00,2.08,197
ALTUSTFI,20181121,1.98,2.00,1.88,1.95,149719
ALUMETAL,20181121,41.60,43.45,41.60,42.50,657
AMBRA,20181121,10.90,10.90,10.75,10.75,1394
AMICA,20181121,107.20,108.20,107.00,107.80,1154
AMREST,20181121,38.00,38.50,36.95,37.75,194630
APATOR,20181121,23.20,23.20,22.20,22.60,9100
APLISENS,20181121,10.50,10.50,10.50,10.50,1
ARCTIC,20181121,3.55,3.65,3.55,3.58,4810
ARCUS,20181121,1.15,1.15,1.15,1.15,59
ARTERIA,20181121,6.58,6.58,6.50,6.50,2
ARTIFEX,20181121,5.24,5.24,4.80,4.90,11828
ASBIS,20181121,2.78,2.82,2.70,2.79,53792
ASSECOBS,20181121,24.40,24.40,24.40,24.40,20
ASSECOPOL,20181121,45.90,47.90,45.90,47.90,65449
ASSECOSEE,20181121,10.80,11.00,10.80,11.00,1961
ASTARTA,20181121,29.60,29.60,29.10,29.10,4523
ATAL,20181121,30.50,30.50,28.10,29.50,52501
ATENDE,20181121,3.44,3.44,3.40,3.40,495
ATLANTAPL,20181121,3.73,3.73,3.72,3.72,700
ATLANTIS,20181121,0.53,0.56,0.53,0.53,5033
ATLASEST,20181121,0.78,0.78,0.78,0.78,3100
ATM,20181121,9.00,9.00,9.00,9.00,332
ATMGRUPA,20181121,4.62,4.74,4.62,4.62,748
ATREM,20181121,1.75,1.75,1.63,1.74,36303
AUTOCALLSX7E,20181121,755.40,755.40,755.40,755.40,10
AUTOPARTN,20181121,3.58,3.65,3.56,3.65,2423
AWBUD,20181121,0.90,0.90,0.90,0.90,400
BAHOLDING,20181121,1.71,1.72,1.65,1.68,39698
BALTONA,20181121,9.00,9.00,8.32,9.00,1192
BBIDEV,20181121,0.51,0.52,0.51,0.52,74726
BEDZIN,20181121,24.00,24.00,24.00,24.00,10
BENEFIT,20181121,724.00,750.00,724.00,750.00,28
BEST,20181121,28.20,29.60,28.20,29.60,2
BETACOM,20181121,14.70,14.70,13.90,13.90,2
BGZBNPP,20181121,47.90,48.00,45.40,48.00,366
BIK,20181121,15.65,15.65,14.10,14.10,1181
BIOMEDLUB,20181121,1.05,1.08,1.04,1.07,32730
BIOTON,20181121,5.68,5.90,5.65,5.73,38731
BNPPBSK10521,20181121,832.20,832.20,832.20,832.20,50
BOGDANKA,20181121,56.70,57.10,55.20,57.00,6099
BORYSZEW,20181121,4.70,4.74,4.67,4.73,94805
BOS,20181121,6.93,6.93,6.71,6.90,22005
BOWIM,20181121,2.94,3.00,2.94,2.94,3996
BRASTER,20181121,1.27,1.52,1.19,1.40,1276065
BSCDRUK,20181121,33.60,33.60,33.60,33.60,2
BUDIMEX,20181121,114.40,118.00,114.40,117.20,11765
BYTOM,20181121,2.67,2.71,2.62,2.65,7918
CAPITAL,20181121,2.20,2.58,2.20,2.50,23564
CCC,20181121,176.00,180.30,176.00,178.20,79255
CDPROJEKT,20181121,131.00,137.60,130.30,137.50,447528
CDRL,20181121,23.90,23.90,22.10,23.00,855
CEZ,20181121,93.35,93.35,91.50,91.55,73
CIECH,20181121,41.22,41.74,40.30,40.54,43207
CIGAMES,20181121,0.71,0.74,0.71,0.72,1043230
CITYSERV,20181121,11.40,11.40,11.40,11.40,200
CLNPHARMA,20181121,29.00,29.80,29.00,29.80,4075
CNT,20181121,12.65,12.65,12.65,12.65,50
COGNOR,20181121,1.85,1.86,1.80,1.83,18410
COMARCH,20181121,158.50,166.00,158.50,163.50,995
COMP,20181121,64.00,64.00,64.00,64.00,50
CORMAY,20181121,0.93,0.93,0.89,0.93,39666
CPGROUP,20181121,4.90,4.90,4.90,4.90,1
CYFRPLSAT,20181121,21.38,22.70,21.38,22.58,482125
DEBICA,20181121,95.00,95.00,94.60,95.00,205
DECORA,20181121,11.60,11.60,11.50,11.50,663
DEKPOL,20181121,32.00,33.00,32.00,33.00,350
DELKO,20181121,9.20,9.20,9.20,9.20,10
DGA,20181121,9.28,9.28,8.56,8.56,423
DINOPL,20181121,83.75,85.80,83.50,85.60,110299
DOMDEV,20181121,63.60,65.20,63.60,65.20,1288
DROZAPOL,20181121,1.54,1.54,1.54,1.54,17
ECHO,20181121,3.96,4.00,3.86,3.93,120655
EDINVEST,20181121,1.91,1.91,1.91,1.91,1
EFEKT,20181121,22.20,22.20,21.80,22.10,210
EKOEXPORT,20181121,3.48,3.53,3.29,3.52,17313
ELBUDOWA,20181121,30.00,30.30,29.50,29.50,4950
ELEKTROTI,20181121,3.97,4.02,3.89,3.96,861
ELEMENTAL,20181121,1.20,1.20,1.15,1.19,132121
ELKOP,20181121,0.01,0.01,0.01,0.01,83829
EMCINSMED,20181121,7.20,7.20,7.20,7.20,1
ENAP,20181121,1.03,1.03,1.03,1.03,1
ENEA,20181121,10.15,10.52,10.14,10.50,507592
ENERGA,20181121,8.72,9.22,8.72,9.19,1002863
ENERGOINS,20181121,0.70,0.74,0.69,0.74,19866
ENTER,20181121,18.00,18.00,17.60,17.60,71
ERBUD,20181121,10.45,10.45,9.92,9.92,13
ERGIS,20181121,2.93,2.93,2.93,2.93,3063
ESOTIQ,20181121,17.05,17.20,16.85,17.10,1451
ESSYSTEM,20181121,2.02,2.10,1.98,2.02,26392
ETFDAX,20181121,456.30,456.30,455.05,456.00,58
ETFSP500,20181121,103.00,103.00,102.50,102.90,201
ETFW20L,20181121,262.90,269.40,262.90,266.55,3665
EUCO,20181121,7.90,7.90,7.50,7.90,97
EUROCASH,20181121,17.38,17.79,17.22,17.68,566911
EUROTEL,20181121,17.00,17.00,17.00,17.00,1320
EVEREST,20181121,0.58,0.58,0.58,0.58,20
FAMUR,20181121,5.62,5.62,5.48,5.60,33018
FASING,20181121,14.40,14.70,14.10,14.70,662
FASTFIN,20181121,0.04,0.06,0.03,0.06,838440
FEERUM,20181121,5.40,5.40,5.02,5.36,296
FERRO,20181121,13.90,13.90,13.10,13.20,3553
FERRUM,20181121,4.50,4.65,4.40,4.65,859
FORTE,20181121,20.55,21.00,20.30,21.00,12929
GETINOBLE,20181121,0.21,0.28,0.18,0.28,63348116
GINOROSSI,20181121,0.39,0.41,0.37,0.40,541474
GLCOSMED,20181121,0.72,0.72,0.68,0.68,29
GOBARTO,20181121,8.32,8.60,7.82,8.20,6505
GPRE,20181121,5.34,5.34,5.30,5.34,77
GPW,20181121,34.10,35.20,34.10,35.15,50997
GRAVITON,20181121,1.44,1.44,1.44,1.44,21
GROCLIN,20181121,2.04,2.06,1.96,2.06,25675
GRODNO,20181121,1.99,2.02,1.90,2.00,207864
GRUPAAZOTY,20181121,28.18,30.70,28.02,30.70,313246
GTC,20181121,8.33,8.48,8.24,8.45,24353
HANDLOWY,20181121,68.90,69.90,68.90,69.30,24387
HARPER,20181121,0.12,0.12,0.10,0.12,571343
HELIO,20181121,10.75,10.75,10.70,10.70,4
HERKULES,20181121,2.70,2.77,2.69,2.70,12211
HOLLYWOOD,20181121,1.04,1.04,1.04,1.04,2541
HYDROTOR,20181121,34.80,34.80,34.80,34.80,391
IDEABANK,20181121,1.79,2.22,1.70,2.22,1844749
IDMSA,20181121,0.99,0.99,0.98,0.98,2167
IFCAPITAL,20181121,0.53,0.58,0.52,0.52,4066
IFIRMA,20181121,2.16,2.17,2.12,2.14,15960
IIAAV,20181121,88.75,88.75,88.75,88.75,1
IMCOMPANY,20181121,14.30,14.50,14.30,14.30,1982
IMMOBILE,20181121,3.17,3.17,3.10,3.13,755
IMPEL,20181121,8.90,8.90,8.55,8.90,123
IMPERA,20181121,0.87,0.87,0.85,0.85,3
IMPEXMET,20181121,3.34,3.36,3.31,3.32,2582832
IMS,20181121,3.18,3.24,3.18,3.24,2381
INC,20181121,1.02,1.02,1.00,1.02,558
INDYKPOL,20181121,67.00,67.00,67.00,67.00,1
INGBSK,20181121,180.00,180.80,178.20,180.00,1029
INPRO,20181121,4.50,4.50,4.40,4.50,302
INSTALKRK,20181121,12.50,12.50,12.00,12.45,981
