06MAGNA,20170323,0.54,0.55,0.53,0.55,14250
11BIT,20170323,187.00,188.00,187.00,187.20,3572
4FUNMEDIA,20170323,5.19,5.23,5.05,5.23,581
AATHOLD,20170323,17.69,17.69,17.69,17.69,2
ABADONRE,20170323,6.00,6.20,6.00,6.20,4514
ABCDATA,20170323,1.93,1.95,1.90,1.93,261065
ABMSOLID,20170323,11.34,11.35,10.80,11.35,360
ABPL,20170323,38.50,39.50,38.22,38.97,1641
ACAUTOGAZ,20170323,41.00,41.00,40.00,40.04,415
ACTION,20170323,4.32,4.38,4.16,4.34,122739
ADIUVO,20170323,28.78,28.78,28.78,28.78,3
AGORA,20170323,15.65,15.79,15.50,15.50,2427
AGROTON,20170323,6.01,6.10,5.85,6.04,26410
AILLERON,20170323,13.05,13.69,13.05,13.68,22436
AIRWAY,20170323,2.14,2.15,2.02,2.10,40701
ALCHEMIA,20170323,5.10,5.10,5.06,5.10,30702
ALIOR,20170323,73.10,74.64,72.81,73.60,258494
ALMA,20170323,1.04,1.07,1.00,1.05,146566
ALTA,20170323,3.55,3.59,3.55,3.58,6159
ALTUSTFI,20170323,14.35,14.49,14.35,14.42,9345
ALUMETAL,20170323,59.58,60.20,59.58,60.00,2430
AMBRA,20170323,9.69,10.10,9.69,10.05,22153
AMICA,20170323,177.80,177.80,176.15,177.20,2385
AMREST,20170323,337.95,337.95,328.55,329.00,5111
APATOR,20170323,35.03,35.97,35.03,35.97,2550
APLISENS,20170323,14.24,14.24,14.24,14.24,2
APSENERGY,20170323,4.28,4.28,4.28,4.28,2
ARCHICOM,20170323,15.05,15.05,15.05,15.05,89557
ARCTIC,20170323,5.27,5.33,5.17,5.17,24201
ARCUS,20170323,1.26,1.26,1.25,1.25,7175
ARTERIA,20170323,9.51,9.65,9.51,9.60,11149
ARTIFEX,20170323,20.40,20.40,19.70,20.00,812
ASBIS,20170323,3.12,3.12,3.05,3.06,26608
ASMGROUP,20170323,5.75,5.75,5.75,5.75,100
ASSECOBS,20170323,27.34,27.34,27.34,27.34,1
ASSECOPOL,20170323,54.15,54.83,53.68,53.84,102190
ASSECOSEE,20170323,11.64,11.64,11.50,11.64,571
ASSECOSLO,20170323,30.36,30.36,29.25,30.33,315
ASTARTA,20170323,67.50,67.93,66.61,66.65,635
ATAL,20170323,32.54,32.90,32.50,32.50,8007
ATENDE,20170323,4.20,4.44,4.20,4.42,38290
ATLANTAPL,20170323,5.40,5.70,5.25,5.49,6740
ATLANTIS,20170323,0.71,0.74,0.70,0.73,43624
ATM,20170323,11.21,11.21,11.00,11.00,50
ATMGRUPA,20170323,4.46,4.46,4.40,4.45,6704
ATREM,20170323,2.82,2.82,2.72,2.82,3939
AUTOPARTN,20170323,5.32,5.47,5.30,5.39,252717
AVIAAML,20170323,6.14,6.39,5.77,5.90,48959
AVIASG,20170323,20.44,20.55,20.00,20.53,1356
AWBUD,20170323,7.32,7.32,7.30,7.32,7563
BALTONA,20170323,2.67,2.69,2.64,2.69,1472
BBIDEV,20170323,0.85,0.86,0.84,0.86,149188
BEDZIN,20170323,24.72,24.72,24.61,24.70,55
BENEFIT,20170323,930.00,930.00,912.00,915.00,51
BEST,20170323,26.70,26.90,26.65,26.90,1227
BETACOM,20170323,11.39,11.60,11.39,11.60,7149
BGZBNPP,20170323,68.00,68.00,66.61,68.00,659
BIK,20170323,16.46,16.46,16.46,16.46,175
BIOMEDLUB,20170323,1.02,1.03,0.99,1.01,218212
BIOTON,20170323,7.00,7.11,6.92,7.10,21614
BMPAG,20170323,1.82,1.82,1.80,1.82,1802
BOGDANKA,20170323,79.50,80.60,78.30,79.10,9721
BORYSZEW,20170323,11.53,11.76,11.53,11.76,111942
BOS,20170323,12.65,12.65,11.61,11.95,54890
BRASTER,20170323,17.08,17.08,16.70,16.89,13963
BRIJU,20170323,8.06,9.00,7.51,9.00,352001
BSCDRUK,20170323,36.50,36.50,35.35,36.50,312
BUDIMEX,20170323,258.00,261.10,253.05,256.50,8056
BUMECH,20170323,1.50,1.50,1.20,1.26,15598236
BUWOG,20170323,98.83,98.83,98.83,98.83,7
BYTOM,20170323,2.27,2.29,2.25,2.28,23259
BZWBK,20170323,344.00,349.45,336.50,349.45,53334
CALATRAVA,20170323,0.54,0.55,0.51,0.55,327144
CAPITAL,20170323,2.43,2.46,2.43,2.46,1000
CCC,20170323,232.45,238.90,232.00,235.90,26407
CDPROJEKT,20170323,73.51,76.30,73.51,75.76,102956
CDRL,20170323,28.09,28.09,27.50,27.50,432
CELTIC,20170323,5.59,5.81,5.59,5.60,37301
CEZ,20170323,69.69,69.94,69.30,69.86,265
CFI,20170323,0.85,0.89,0.81,0.83,703587
CHEMOS,20170323,1.35,1.37,1.29,1.32,74399
CIECH,20170323,81.00,81.36,80.16,81.00,23523
CIGAMES,20170323,2.81,2.82,2.73,2.74,363678
CITYSERV,20170323,9.70,9.90,9.60,9.90,20740
CLNPHARMA,20170323,36.07,38.70,36.00,38.00,61191
CNT,20170323,7.99,7.99,7.98,7.98,149
COALENERG,20170323,1.03,1.06,1.01,1.06,52543
COGNOR,20170323,1.88,1.88,1.80,1.85,56623
COLIAN,20170323,3.19,3.25,3.19,3.25,8394
COMARCH,20170323,232.95,233.95,226.00,227.00,9657
COMP,20170323,70.50,73.00,70.50,73.00,565
CORMAY,20170323,2.81,2.89,2.76,2.88,118805
CPGROUP,20170323,6.60,6.60,6.34,6.55,4003
CUBEITG,20170323,6.79,6.80,6.79,6.80,680
CYFRPLSAT,20170323,23.50,23.81,23.45,23.60,758587
CZTOREBKA,20170323,0.88,0.91,0.85,0.90,55818
DEBICA,20170323,94.00,94.00,93.00,93.90,352
DECORA,20170323,10.19,10.19,9.90,10.19,251
DEKPOL,20170323,12.60,12.60,12.60,12.60,3
DELKO,20170323,11.30,11.30,11.05,11.30,302
DGA,20170323,3.96,3.96,3.81,3.96,427
DOMDEV,20170323,70.37,70.90,70.00,70.90,889
DREWEX,20170323,1.70,1.73,1.70,1.73,150
DROP,20170323,1.84,1.84,1.75,1.80,4490
