06MAGNA,20170111,0.70,0.71,0.69,0.69,26925
11BIT,20170111,152.40,152.40,148.50,149.50,6474
4FUNMEDIA,20170111,5.35,5.35,5.19,5.33,2106
AATHOLD,20170111,19.99,19.99,19.05,19.95,264
ABADONRE,20170111,4.27,5.15,4.20,5.15,3305
ABCDATA,20170111,2.03,2.06,2.00,2.05,239692
ABMSOLID,20170111,8.99,8.99,8.99,8.99,11
ABPL,20170111,34.85,34.89,34.75,34.85,299
ACAUTOGAZ,20170111,43.90,43.90,43.90,43.90,90
ACTION,20170111,5.09,5.11,4.80,4.92,195702
ADIUVO,20170111,27.55,27.55,27.50,27.50,221
AGORA,20170111,12.28,12.30,12.21,12.30,79877
AGROTON,20170111,5.74,5.75,5.50,5.58,116267
AGROWILL,20170111,1.85,1.85,1.85,1.85,1
AILLERON,20170111,8.59,8.59,8.46,8.49,1929
AIRWAY,20170111,1.66,1.74,1.66,1.70,8892
ALCHEMIA,20170111,5.00,5.00,4.98,5.00,6700
ALIOR,20170111,59.50,59.80,58.83,59.80,782394
ALMA,20170111,2.79,2.84,2.74,2.79,131855
ALTA,20170111,2.76,2.76,2.76,2.76,1
ALTUSTFI,20170111,14.60,14.60,14.60,14.60,2
ALUMETAL,20170111,60.88,61.68,60.60,61.40,6191
AMBRA,20170111,7.96,7.98,7.87,7.98,1387
AMICA,20170111,179.40,180.45,179.20,180.00,23021
AMREST,20170111,287.00,287.15,280.00,283.50,1062
APATOR,20170111,29.30,29.30,28.90,28.90,6544
APLISENS,20170111,12.95,12.95,12.95,12.95,2
APLITT,20170111,0.83,0.83,0.83,0.83,544
APSENERGY,20170111,3.60,3.60,3.41,3.49,403
ARCHICOM,20170111,15.24,15.25,15.24,15.25,1050
ARCTIC,20170111,5.63,5.65,5.55,5.61,31379
ARCUS,20170111,1.49,1.60,1.41,1.49,20117
ARTERIA,20170111,9.04,9.05,8.70,8.90,3648
ARTIFEX,20170111,21.90,21.90,21.77,21.80,114
ASBIS,20170111,3.14,3.25,3.13,3.18,235266
ASMGROUP,20170111,5.35,5.39,5.35,5.39,1382
ASSECOBS,20170111,24.49,24.49,24.23,24.23,621
ASSECOPOL,20170111,56.28,57.00,55.54,57.00,161976
ASSECOSEE,20170111,9.19,9.19,9.19,9.19,200
